,,,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solid
Experiment,Study,Phase,Temp (°C),pH (NBS),[Na] (M),[Cl] (M),[B] (M),[Ca] (M),[DIC] (M),[Mg] (M),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),ionstr,B/Ca (umol/mol),B/Ca_2std (umol/mol),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),logR,logR_2std,logR_unit,seeds
Run 11,Kaczmarek,Calcite,22,8.75,0.699999836323572,0.699999836355883,0.00365,0.001049999457922,0.00508,0,-14.03,0.07,0.61,1083.17,46.29,-26.69,0.23,0.161368002,,mg/mg/hr,TRUE
Run 12,Kaczmarek,Calcite,22,8.75,0.699999834094249,0.699999834131025,0.00366,0.001059999443761,0.00505,0,-14.03,0.12,0.61,1055.4,46.29,-26.57,0.1,0.146128036,,mg/mg/hr,TRUE
Run 13,Kaczmarek,Calcite,32,8.73,0.699999615768415,0.69999961590214,0.00369,0.000699999062936,0.0052,0,-14.04,0.08,0.62,518.44,18.52,-25.32,0.04,0.206825876,,mg/mg/hr,TRUE
Run 14,Kaczmarek,Calcite,32,8.73,0.699999612178934,0.699999612317759,0.00376,0.000709999040125,0.00522,0,-13.96,0.28,0.62,555.47,18.52,-25.23,0.31,0.209515015,,mg/mg/hr,TRUE
Run 15,Kaczmarek,Calcite,32,8.73,0.699999613613948,0.699999613752442,0.00379,0.000709999043795,0.00517,0,-14.25,0.07,0.62,499.93,18.52,-25.08,0.1,0.206825876,,mg/mg/hr,TRUE
Run 16,Kaczmarek,Calcite,32,8.72,0.69999961860646,0.699999618742329,0.00374,0.00069999906975,0.00512,0,-13.97,0.38,0.62,509.18,18.52,-25.16,0.23,0.201397124,,mg/mg/hr,TRUE
Exp. 8C,Uchikawa,Calcite,25,8.25,0.45,0.46,0.000432,0.00385,0.00239,0,-12.19,0.32,0.46,28.4,4.7,-27.68,0.56,-5.713354,0.0324393,mol/m2/sec,TRUE
Exp. 8F,Uchikawa,Calcite,25,8.25,0.45,0.46,0.000432,0.00385,0.00239,0,-12.19,0.32,0.46,30.6,4.6,-27.68,0.56,-5.697685,0.0219292,mol/m2/sec,TRUE
Exp. 15A,Uchikawa,Calcite,25,8.37,0.45,0.46,0.000432,0.00385,0.00239,0,-12.19,0.32,0.46,102.1,4.9,-26.74,0.58,-5.50476,0.0036092,mol/m2/sec,TRUE
Exp. 9B,Uchikawa,Calcite,25,8.5,0.45,0.46,0.000432,0.00385,0.00239,0,-12.19,0.32,0.46,162.9,5.3,-25.87,0.22,-5.383022,0.0084379,mol/m2/sec,TRUE
Exp. 10A,Uchikawa,Calcite,25,8.65,0.45,0.46,0.000432,0.00385,0.00239,0,-12.19,0.32,0.46,305.8,8.3,-23.95,0.23,-5.211239,0.0149103,mol/m2/sec,TRUE
Exp. 4B,Uchikawa,Calcite,25,8,0.46,0.46,0.00432,0.00385,0.00239,0,-12.19,0.32,0.47,75.4,7.8,-27.16,0.68,-6.587835,0.0096401,mol/m2/sec,TRUE
Exp. 2B,Uchikawa,Calcite,25,8.25,0.46,0.46,0.00432,0.00385,0.00239,0,-12.19,0.32,0.47,334.5,10.6,-26.86,0.3,-5.800472,0.0308282,mol/m2/sec,TRUE
Exp. 1C,Uchikawa,Calcite,25,8.5,0.46,0.46,0.00432,0.00385,0.00239,0,-12.19,0.32,0.47,1068.1,24.9,-26.54,0.31,-5.496044,0.0105195,mol/m2/sec,TRUE
Exp. 13C,Uchikawa,Calcite,25,8.25,0.45,0.46,0.000432,0.00385,0.0018,0,-12.19,0.32,0.46,37.5,4.8,-27.08,0.31,-5.850709,0.0036303,mol/m2/sec,TRUE
Exp. 12B,Uchikawa,Calcite,25,8.25,0.46,0.46,0.000432,0.00385,0.00359,0,-12.19,0.32,0.47,97.7,4.8,-27.91,0.21,-5.401792,0.0036589,mol/m2/sec,TRUE
Exp. 11A,Uchikawa,Calcite,25,8.25,0.46,0.46,0.000432,0.00385,0.00479,0,-12.19,0.32,0.47,119.2,4.7,-28.5,0.21,-5.238046,0.0036825,mol/m2/sec,TRUE
Exp. 19B,Uchikawa,Calcite,25,8.25,0.45,0.46,0.000432,0.00482,0.00239,0,-12.19,0.32,0.46,98.9,5.5,-27.63,0.24,-5.550526,0.0029808,mol/m2/sec,TRUE
Exp. 17B,Uchikawa,Calcite,25,8.25,0.45,0.46,0.000432,0.00578,0.00239,0,-12.19,0.32,0.47,139.2,4.7,-28.2,0.22,-5.419852,0.0037579,mol/m2/sec,TRUE
Exp. 16B,Uchikawa,Calcite,25,8.25,0.45,0.47,0.000432,0.00771,0.00239,0,-12.19,0.32,0.48,194.1,5.6,-28.74,0.25,-5.316791,0.003829,mol/m2/sec,TRUE
